X1	X2	cLine_ID	Aliases	RRID.CVCLE	MSI	Tissue	Subtissue	Histology	Subhistology	Gender	Age	Ethnicity	Grade_Stage	Source	COSMIC_ID	COSMIC_membership	ArrayID_CCLE	CCLE_membership	NCI60_membership	X	X.1	X.2	X.3	X.4	X.5	X.6	FID	sp	p	gender	id	cluster.infomap	cluster.walktrap	Q1	Q2	Q3	Q4	Q5	Q6	Q7
2063	-4.94732342798652	40.325708089126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01864	KHV	EAS	male	HG01864	6	6	1e-05	1e-05	0.964625	0.002461	0.032874	1e-05	1e-05
2064	-5.68937184813378	41.5988772531412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01865	KHV	EAS	male	HG01865	6	6	1e-05	1e-05	0.982769	1e-05	0.017181	1e-05	1e-05
2065	-4.57998847627362	39.592763670074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01866	KHV	EAS	male	HG01866	6	6	1e-05	1e-05	0.955152	1e-05	0.044798	1e-05	1e-05
2066	-6.87566546846071	38.8263711942963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01867	KHV	EAS	male	HG01867	6	6	1e-05	0.000761	0.967903	1e-05	0.024421	0.006885	1e-05
2067	-4.54858906399554	42.2434544845782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01868	KHV	EAS	female	HG01868	6	6	0.010685	1e-05	0.97981	1e-05	0.009465	1e-05	1e-05
2068	-6.57769524862748	39.2441569047898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01869	KHV	EAS	female	HG01869	6	6	1e-05	0.001988	0.981589	1e-05	0.016383	1e-05	1e-05
2069	-5.84186503096974	40.8719177672945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01870	KHV	EAS	female	HG01870	6	6	0.002329	1e-05	0.979558	1e-05	0.018074	1e-05	1e-05
2070	-5.83477211762461	38.5135175571646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01871	KHV	EAS	female	HG01871	6	6	1e-05	1e-05	0.95783	1e-05	0.04212	1e-05	1e-05
2071	-4.7460796367229	37.1831892934346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01872	KHV	EAS	male	HG01872	6	6	1e-05	0.011735	0.94231	0.026261	0.019663	1e-05	1e-05
2072	-5.29775634311355	40.8624211556463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01873	KHV	EAS	male	HG01873	6	6	1e-05	1e-05	0.96336	0.011058	0.018546	0.007006	1e-05
2073	-6.91228023812104	40.9766047480096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01874	KHV	EAS	female	HG01874	6	6	1e-05	0.000271	0.964433	1e-05	0.035256	1e-05	1e-05
2074	-4.94485737642018	39.1722850584963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01878	KHV	EAS	female	HG01878	6	6	1e-05	1e-05	0.960188	1e-05	0.039762	1e-05	1e-05
2075	19.8739261330504	-22.1558013859842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01879	ACB	AFR	male	HG01879	7	4	0.039284	0.002774	0.006757	1e-05	1e-05	0.110701	0.840463
2076	24.6291685468488	-19.6252362220261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01880	ACB	AFR	female	HG01880	7	4	1e-05	0.008533	0.064554	1e-05	0.319093	0.062762	0.545038
2077	14.5181370836524	-26.6988524702419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01882	ACB	AFR	male	HG01882	18	4	1e-05	1e-05	1.7e-05	0.003342	1e-05	0.038699	0.957912
2078	19.7046515763206	-23.4290196549286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01883	ACB	AFR	female	HG01883	7	4	0.032295	1e-05	1e-05	1e-05	0.013695	0.1051	0.84888
2079	15.7805751561738	-26.1365850206537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01885	ACB	AFR	male	HG01885	18	4	0.020684	0.002884	1e-05	1e-05	0.001271	0.028498	0.946643
2080	18.7318187211474	-24.2480255952191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01886	ACB	AFR	female	HG01886	7	4	0.038143	0.000524	1e-05	0.002895	0.00097	0.075274	0.882185
2081	14.2508307543993	-27.0359774915252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01889	ACB	AFR	female	HG01889	18	13	1e-05	0.002796	1e-05	1e-05	1e-05	0.028052	0.969112
2082	19.3387869487923	-24.2136806717943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01890	ACB	AFR	male	HG01890	7	4	0.035781	0.001557	1e-05	1e-05	1e-05	0.084227	0.878406
2083	-15.5378606952709	-18.8754262118953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01892	PEL	AMR	male	HG01892	22	3	0.063164	0.772422	1e-05	1e-05	1e-05	0.101156	0.063227
2084	-13.7828278261916	-17.1604862097213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01893	PEL	AMR	female	HG01893	19	3	0.138705	0.610409	1e-05	1e-05	1e-05	0.133068	0.117788
2085	16.6914764172717	-25.4234212957333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01894	ACB	AFR	female	HG01894	18	4	0.004432	1e-05	0.001311	1e-05	0.001887	0.08477	0.90758
2086	13.7287798196378	-27.91905435522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01896	ACB	AFR	female	HG01896	18	13	1e-05	0.002614	1e-05	1e-05	0.008769	0.013171	0.975417
2087	17.0095854490379	-25.2277487336615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01912	ACB	AFR	male	HG01912	18	4	0.02416	1e-05	1e-05	1e-05	0.010976	0.059677	0.905157
2088	19.9386041263361	-23.1696613599767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01914	ACB	AFR	male	HG01914	7	4	0.045749	0.002725	0.000711	1e-05	0.015125	0.085994	0.849685
2089	15.8858904745639	-25.3481711725969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01915	ACB	AFR	female	HG01915	18	4	0.024749	0.003038	1e-05	0.003302	0.018458	0.030353	0.92009
2090	-17.8751891531024	-20.5016464009259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01917	PEL	AMR	male	HG01917	22	3	0.022748	0.906514	1e-05	1e-05	1e-05	0.069804	0.000903
2091	-16.5336962096037	-19.5603053641913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01918	PEL	AMR	female	HG01918	22	3	0.072117	0.818691	1e-05	1e-05	0.003781	0.105381	1e-05
2092	-19.1375200487162	-21.297630105695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01920	PEL	AMR	male	HG01920	22	3	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05
2093	-16.4384340333744	-19.4541667227219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01921	PEL	AMR	female	HG01921	22	3	0.080486	0.799332	0.008975	1e-05	1e-05	0.111177	1e-05
2094	-18.9960077707068	-21.2295637373242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01923	PEL	AMR	male	HG01923	22	3	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05
2095	-14.1615540793008	-18.7517977445134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01924	PEL	AMR	female	HG01924	22	3	0.027361	0.708012	0.074959	1e-05	1e-05	0.085139	0.104509
2096	-19.2037840906096	-21.2680910309827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01926	PEL	AMR	male	HG01926	22	3	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05
2097	-18.859573812003	-21.0984630658458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01927	PEL	AMR	female	HG01927	22	3	1e-05	0.997465	1e-05	1e-05	1e-05	0.002485	1e-05
2098	-16.8939297146542	-19.8736442412968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01932	PEL	AMR	male	HG01932	22	3	0.04878	0.847452	1e-05	1e-05	1e-05	0.103728	1e-05
2099	-14.471927375015	-17.7876570368129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01933	PEL	AMR	female	HG01933	19	3	0.066114	0.663949	0.058657	1e-05	1e-05	0.113772	0.097487
2100	-16.2708845536571	-19.3772632386629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01935	PEL	AMR	male	HG01935	22	3	0.096092	0.778154	1e-05	1e-05	1e-05	0.125714	1e-05
2101	-15.2339181672729	-18.0688869173775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01936	PEL	AMR	female	HG01936	19	3	0.11702	0.70116	1e-05	1e-05	0.019399	0.139162	0.023239
2102	-19.2377270839313	-21.2189849434904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01938	PEL	AMR	male	HG01938	22	3	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05
2103	-16.5563911477296	-19.6484631963947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01939	PEL	AMR	female	HG01939	22	3	0.064476	0.828557	1e-05	1e-05	1e-05	0.106624	0.000314
2104	-17.4289065442572	-19.4858069313296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01941	PEL	AMR	male	HG01941	22	3	0.026858	0.850995	0.003874	1e-05	0.001549	0.060282	0.056431
2105	-17.3664785560526	-20.1285599991047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01942	PEL	AMR	female	HG01942	22	3	0.031239	0.884063	1e-05	1e-05	0.016506	0.068162	1e-05
2106	-14.2193134717545	-18.8846884135107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01944	PEL	AMR	male	HG01944	19	3	0.031293	0.537122	0.311377	0.072534	0.008629	0.037505	0.001538
2107	-16.6643762751889	-19.7287762910948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01945	PEL	AMR	female	HG01945	22	3	0.053676	0.816692	1e-05	1e-05	0.015106	0.114496	1e-05
2108	-14.6525335542641	-16.7315340470293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01947	PEL	AMR	male	HG01947	19	3	0.124714	0.647038	0.015183	1e-05	0.026045	0.158505	0.028505
2109	-13.9415325524186	-18.4839080976047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01948	PEL	AMR	female	HG01948	19	3	0.021117	0.685577	0.043155	0.017251	0.007234	0.056767	0.1689
2110	-17.7281625405274	-19.5591389476629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01950	PEL	AMR	male	HG01950	22	3	0.005852	0.888832	1e-05	0.009525	0.00482	0.034344	0.056617
2111	-19.1723981530012	-20.7619657239182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01951	PEL	AMR	female	HG01951	22	3	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05
2112	-18.1217375278394	-20.6300864279804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01953	PEL	AMR	male	HG01953	22	3	0.011074	0.947276	1e-05	1e-05	0.004193	0.037426	1e-05
2113	-18.4512386266361	-20.8140127108178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01954	PEL	AMR	female	HG01954	22	3	1e-05	0.976324	1e-05	1e-05	1e-05	0.023626	1e-05
2114	15.7109045601225	-25.8168069642101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01956	ACB	AFR	female	HG01956	18	4	0.016555	1e-05	1e-05	1e-05	0.001668	0.064484	0.917263
2115	19.7140961701436	-23.1941896256055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01958	ACB	AFR	female	HG01958	7	4	0.030516	0.009258	0.004723	1e-05	0.000739	0.099723	0.855031
2116	-19.2094203934205	-21.2035406504023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01961	PEL	AMR	male	HG01961	22	3	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05
2117	-14.3479743931344	-16.9596248134613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01965	PEL	AMR	female	HG01965	19	3	0.091367	0.621584	1e-05	0.01257	0.007691	0.181204	0.085573
2118	-15.1980350240255	-17.9302306733382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01967	PEL	AMR	male	HG01967	19	3	0.12513	0.67421	0.001819	1e-05	0.002243	0.19056	0.006027
2119	-18.9464586093945	-21.0409934526976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01968	PEL	AMR	female	HG01968	22	3	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05
2120	-15.2787633997435	-18.0248560363337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01970	PEL	AMR	male	HG01970	19	3	0.102939	0.696124	0.008553	1e-05	0.004212	0.182313	0.005848
2121	-13.686462393048	-17.2838504983644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01971	PEL	AMR	female	HG01971	19	3	0.094511	0.596389	0.017412	1e-05	1e-05	0.141185	0.150483
2122	-17.1331941686917	-20.0127851192155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01973	PEL	AMR	female	HG01973	22	3	0.039423	0.857975	1e-05	0.003421	1e-05	0.07256	0.026601
2123	-19.0418729582983	-20.7710428484522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01974	PEL	AMR	male	HG01974	22	3	1e-05	0.99994	1e-05	1e-05	1e-05	1e-05	1e-05
2124	-15.4461416200019	-18.2965033791533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01976	PEL	AMR	female	HG01976	22	3	0.106225	0.719674	0.004	1e-05	0.00977	0.160311	1e-05
2125	-16.8857585855086	-19.805121513207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01977	PEL	AMR	male	HG01977	22	3	0.067229	0.838423	1e-05	1e-05	1e-05	0.094308	1e-05
2126	-15.7325339031784	-18.7586259254939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01979	PEL	AMR	male	HG01979	22	3	0.078269	0.745699	0.003659	1e-05	0.006521	0.15453	0.011312
2127	-16.1094341924471	-19.1694077748427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01980	PEL	AMR	female	HG01980	22	3	0.079719	0.768833	1e-05	1e-05	0.026038	0.097216	0.028173
2128	-16.5782654944967	-19.6681142265573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01982	PEL	AMR	male	HG01982	22	3	0.055769	0.826147	1e-05	1e-05	0.002667	0.115386	1e-05
2129	16.2114873697213	-25.1393509126373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01985	ACB	AFR	female	HG01985	18	4	0.017656	1e-05	1e-05	0.003827	0.005059	0.058292	0.915145
2130	18.6710973851701	-24.0763225785511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01986	ACB	AFR	male	HG01986	7	4	0.024661	1e-05	0.003429	1e-05	1e-05	0.103595	0.868285
2131	25.0110476546408	-20.088772670828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01988	ACB	AFR	male	HG01988	7	4	0.122374	1e-05	1e-05	1e-05	0.006983	0.306883	0.56373
2132	19.9408266928946	-23.6040394645764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01989	ACB	AFR	female	HG01989	7	4	0.029362	0.00522	1e-05	0.004274	0.018186	0.10216	0.840788
2133	16.1415059289209	-25.1782032380464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01990	ACB	AFR	male	HG01990	18	4	0.011019	1e-05	0.016156	1e-05	0.007549	0.042082	0.923174
2134	-16.1806597135087	-19.3056928531053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01991	PEL	AMR	male	HG01991	22	3	0.086749	0.769919	0.01162	1e-05	1e-05	0.11562	0.016072
2135	-18.4698109532031	-20.7590820253538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01992	PEL	AMR	female	HG01992	22	3	1e-05	0.953901	0.002014	1e-05	0.000367	0.043687	1e-05
2136	-18.0347400327735	-20.5049445567804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG01997	PEL	AMR	female	HG01997	22	3	1e-05	0.939555	1e-05	1e-05	1e-05	0.060395	1e-05
2137	-16.598226329943	-19.6536822554714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02002	PEL	AMR	male	HG02002	22	3	0.049015	0.831199	1e-05	0.000954	0.019535	0.099277	1e-05
2138	-17.146080005856	-20.0912089444463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02003	PEL	AMR	female	HG02003	22	3	0.056944	0.86815	0.001637	1e-05	1e-05	0.072628	0.000622
2139	-7.88302052863874	-14.2348792977573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02006	PEL	AMR	female	HG02006	9	5	0.121252	0.347895	0.00372	1e-05	0.003945	0.148378	0.3748
2140	-17.3001511773403	-19.8691986102613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02008	PEL	AMR	male	HG02008	22	3	0.03478	0.880849	1e-05	0.005266	1e-05	0.073003	0.006081
2141	20.1401081723244	-24.0516522124552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02009	ACB	AFR	male	HG02009	7	4	0.044801	0.004914	1e-05	1e-05	1e-05	0.100786	0.849469
2142	20.2995355070178	-23.2040175916219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02010	ACB	AFR	female	HG02010	7	4	0.03564	1.4e-05	1e-05	1e-05	1e-05	0.123806	0.840511
2143	16.4966877252402	-25.6822826288233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02012	ACB	AFR	female	HG02012	18	4	0.016795	1e-05	1e-05	1e-05	1e-05	0.050202	0.932963
2144	13.8534900933388	-27.55756716053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02013	ACB	AFR	male	HG02013	18	13	0.000799	0.000134	0.003994	0.003046	0.00347	0.024116	0.96444
2145	18.5175309129369	-23.5825615774687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02014	ACB	AFR	male	HG02014	7	4	0.041096	1e-05	1e-05	1e-05	0.016395	0.080574	0.861905
2146	-7.27707959242246	38.266337141807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02016	KHV	EAS	female	HG02016	6	6	0.004942	0.007654	0.888189	1e-05	0.098621	1e-05	0.000574
2147	-5.98192484238586	39.9145850927328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02017	KHV	EAS	male	HG02017	6	6	1e-05	1e-05	0.962979	0.004928	0.032053	1e-05	1e-05
2148	-4.18281241225168	40.4074949587887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02019	KHV	EAS	female	HG02019	6	6	1e-05	1e-05	0.956322	0.021676	0.021962	1e-05	1e-05
2149	-4.84194859812927	40.0069489277359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02020	KHV	EAS	male	HG02020	6	6	1e-05	1e-05	0.972916	1e-05	0.02042	0.006624	1e-05
2150	-4.96553780562837	41.5403873085248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02023	KHV	EAS	male	HG02023	6	6	1e-05	0.009702	0.97242	1e-05	0.017839	1e-05	1e-05
2151	-4.58508163001877	41.0331084828515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HG02025	KHV	EAS	female	HG02025	6	6	1e-05	1e-05	0.982753	1e-05	0.017197	1e-05	1e-05
